                       g_value (photons/atom/s)
Velocity (km/s)      7667.01 A           7701.08 A
     -3.4          5.693904e+01        3.241311e+01
     -3.3          5.438769e+01        3.113912e+01
     -3.2          5.183633e+01        2.986513e+01
     -3.1          4.930522e+01        2.861736e+01
     -3.0          4.681860e+01        2.749394e+01
     -2.9          4.433199e+01        2.637052e+01
     -2.8          4.184538e+01        2.524710e+01
     -2.7          3.957286e+01        2.414145e+01
     -2.6          3.751962e+01        2.311555e+01
     -2.5          3.546638e+01        2.208965e+01
     -2.4          3.341314e+01        2.106374e+01
     -2.3          3.152070e+01        2.013441e+01
     -2.2          2.979937e+01        1.936227e+01
     -2.1          2.807804e+01        1.859012e+01
     -2.0          2.635671e+01        1.781798e+01
     -1.9          2.499358e+01        1.711478e+01
     -1.8          2.381020e+01        1.652001e+01
     -1.7          2.262683e+01        1.592523e+01
     -1.6          2.144346e+01        1.533046e+01
     -1.5          2.049346e+01        1.486869e+01
     -1.4          1.966568e+01        1.450049e+01
     -1.3          1.883790e+01        1.413229e+01
     -1.2          1.801011e+01        1.376409e+01
     -1.1          1.751015e+01        1.351110e+01
     -1.0          1.707371e+01        1.333644e+01
     -0.9          1.663726e+01        1.316179e+01
     -0.8          1.620082e+01        1.298713e+01
     -0.7          1.604662e+01        1.296794e+01
     -0.6          1.595099e+01        1.298919e+01
     -0.5          1.585536e+01        1.301044e+01
     -0.4          1.576268e+01        1.303169e+01
     -0.3          1.597633e+01        1.320647e+01
     -0.2          1.618997e+01        1.341922e+01
     -0.1          1.640361e+01        1.363196e+01
      0.0          1.661726e+01        1.384471e+01
      0.1          1.717990e+01        1.424681e+01
      0.2          1.774254e+01        1.464891e+01
      0.3          1.830518e+01        1.505101e+01
      0.4          1.894140e+01        1.545510e+01
      0.5          1.990968e+01        1.610022e+01
      0.6          2.087797e+01        1.674535e+01
      0.7          2.184626e+01        1.739047e+01
      0.8          2.295141e+01        1.807059e+01
      0.9          2.429698e+01        1.888521e+01
      1.0          2.564255e+01        1.969983e+01
      1.1          2.698812e+01        2.051446e+01
      1.2          2.851215e+01        2.138033e+01
      1.3          3.036295e+01        2.243371e+01
      1.4          3.221375e+01        2.348709e+01
      1.5          3.406455e+01        2.454048e+01
      1.6          3.607477e+01        2.563429e+01
      1.7          3.822378e+01        2.678560e+01
      1.8          4.037278e+01        2.793691e+01
      1.9          4.252179e+01        2.908821e+01
      2.0          4.488280e+01        3.029503e+01
      2.1          4.743557e+01        3.157814e+01
      2.2          4.998834e+01        3.286125e+01
      2.3          5.254111e+01        3.414436e+01
      2.4          5.508276e+01        3.539187e+01
      2.5          5.761980e+01        3.661750e+01
      2.6          6.015684e+01        3.784313e+01
      2.7          6.269388e+01        3.906876e+01
      2.8          6.529030e+01        4.028626e+01
      2.9          6.791254e+01        4.149894e+01
      3.0          7.053479e+01        4.271162e+01
      3.1          7.315704e+01        4.392431e+01
      3.2          7.550618e+01        4.504139e+01
      3.3          7.781748e+01        4.613833e+01
      3.4          8.012878e+01        4.723527e+01
      3.5          8.244008e+01        4.832778e+01
      3.6          8.462384e+01        4.924174e+01
      3.7          8.678833e+01        5.015570e+01
      3.8          8.895282e+01        5.106966e+01
      3.9          9.109848e+01        5.198001e+01
      4.0          9.288734e+01        5.278258e+01
      4.1          9.467621e+01        5.358515e+01
      4.2          9.646508e+01        5.438772e+01
      4.3          9.824550e+01        5.515202e+01
      4.4          9.982639e+01        5.578869e+01
      4.5          1.014073e+02        5.642535e+01
      4.6          1.029882e+02        5.706202e+01
      4.7          1.044963e+02        5.767818e+01
      4.8          1.057495e+02        5.822897e+01
      4.9          1.070026e+02        5.877977e+01
      5.0          1.082558e+02        5.933056e+01
      5.1          1.094756e+02        5.982513e+01
      5.2          1.105722e+02        6.024729e+01
      5.3          1.116688e+02        6.066945e+01
      5.4          1.127653e+02        6.109160e+01
      5.5          1.137697e+02        6.148596e+01
      5.6          1.146324e+02        6.184568e+01
      5.7          1.154950e+02        6.220540e+01
      5.8          1.163576e+02        6.256513e+01
      5.9          1.171732e+02        6.287340e+01
      6.0          1.179132e+02        6.315319e+01
      6.1          1.186532e+02        6.343298e+01
      6.2          1.193932e+02        6.371277e+01
      6.3          1.200454e+02        6.396473e+01
      6.4          1.206301e+02        6.420182e+01
      6.5          1.212148e+02        6.443892e+01
      6.6          1.217995e+02        6.467601e+01
      6.7          1.223419e+02        6.486786e+01
      6.8          1.228504e+02        6.505173e+01
      6.9          1.233590e+02        6.523560e+01
      7.0          1.238676e+02        6.541948e+01
      7.1          1.242919e+02        6.558224e+01
      7.2          1.246861e+02        6.574152e+01
      7.3          1.250803e+02        6.590079e+01
      7.4          1.254745e+02        6.605813e+01
      7.5          1.258308e+02        6.618301e+01
      7.6          1.261729e+02        6.630788e+01
      7.7          1.265151e+02        6.643276e+01
      7.8          1.268572e+02        6.655656e+01
      7.9          1.271331e+02        6.666470e+01
      8.0          1.274024e+02        6.677284e+01
      8.1          1.276717e+02        6.688098e+01
      8.2          1.279410e+02        6.698344e+01
      8.3          1.281760e+02        6.707000e+01
      8.4          1.284072e+02        6.715655e+01
      8.5          1.286384e+02        6.724311e+01
      8.6          1.288654e+02        6.732691e+01
      8.7          1.290452e+02        6.740334e+01
      8.8          1.292250e+02        6.747976e+01
      8.9          1.294049e+02        6.755618e+01
      9.0          1.295830e+02        6.762536e+01
      9.1          1.297386e+02        6.768636e+01
      9.2          1.298943e+02        6.774736e+01
      9.3          1.300499e+02        6.780835e+01
      9.4          1.301969e+02        6.786629e+01
      9.5          1.303185e+02        6.792087e+01
      9.6          1.304401e+02        6.797545e+01
      9.7          1.305617e+02        6.803004e+01
      9.8          1.306789e+02        6.807788e+01
      9.9          1.307826e+02        6.812250e+01
     10.0          1.308863e+02        6.816711e+01
     10.1          1.309900e+02        6.821172e+01
     10.2          1.310860e+02        6.825305e+01
     10.3          1.311716e+02        6.829285e+01
     10.4          1.312571e+02        6.833265e+01
     10.5          1.313426e+02        6.837245e+01
     10.6          1.314170e+02        6.840623e+01
     10.7          1.314842e+02        6.843922e+01
     10.8          1.315513e+02        6.847220e+01
     10.9          1.316184e+02        6.850518e+01
     11.0          1.316794e+02        6.853544e+01
     11.1          1.317362e+02        6.856537e+01
     11.2          1.317930e+02        6.859529e+01
     11.3          1.318498e+02        6.862476e+01
     11.4          1.318965e+02        6.864954e+01
     11.5          1.319404e+02        6.867431e+01
     11.6          1.319843e+02        6.869908e+01
     11.7          1.320282e+02        6.872365e+01
     11.8          1.320667e+02        6.874633e+01
     11.9          1.321036e+02        6.876900e+01
     12.0          1.321405e+02        6.879168e+01
     12.1          1.321774e+02        6.881326e+01
     12.2          1.322044e+02        6.883224e+01
     12.3          1.322310e+02        6.885121e+01
     12.4          1.322575e+02        6.887019e+01
     12.5          1.322840e+02        6.888874e+01
     12.6          1.323037e+02        6.890632e+01
     12.7          1.323228e+02        6.892390e+01
     12.8          1.323420e+02        6.894148e+01
     12.9          1.323600e+02        6.895801e+01
     13.0          1.323697e+02        6.897349e+01
